Video,Evento,PCB,Start_Frame,End_Frame
Abuse001_x264.mp4,Abuse,237.0,327.0,397.0
Abuse002_x264.mp4,Abuse,,174.0,266.0
Abuse003_x264.mp4,Abuse,351.0,951.0,3614.0
Abuse004_x264.mp4,Abuse,558.0,898.0,5779.0
Abuse005_x264.mp4,Abuse,210.0,717.0,933.0
Abuse006_x264.mp4,Abuse,203.0,397.0,2828.0
Abuse007_x264.mp4,Abuse,44.0,88.0,379.0
Abuse008_x264.mp4,Abuse,1516.0,4417.0,5366.0
Abuse009_x264.mp4,Abuse,133.0,305.0,938.0
Abuse010_x264.mp4,Abuse,,,
Abuse011_x264.mp4,Abuse,321.0,679.0,3534.0
Abuse012_x264.mp4,Abuse,55.0,399.0,2235.0
Abuse013_x264.mp4,Abuse,,53.0,1837.0
Abuse014_x264.mp4,Abuse,700.0,928.0,1391.0
Abuse015_x264.mp4,Abuse,1158.0,2993.0,4242.0
Abuse016_x264.mp4,Abuse,149.0,605.0,1334.0
Abuse017_x264.mp4,Abuse,164.0,286.0,1907.0
Abuse019_x264.mp4,Abuse,1079.0,1924.0,3508.0
Abuse021_x264.mp4,Abuse,108.0,227.0,1270.0
Abuse022_x264.mp4,Abuse,,199.0,2063.0
Abuse018_x264.mp4,Abuse,1017.0,1646.0,2168.0
Abuse020_x264.mp4,Abuse,,,
Abuse023_x264.mp4,Abuse,428.0,548.0,992.0
Abuse024_x264.mp4,Abuse,335.0,635.0,1021.0
Abuse025_x264.mp4,Abuse,,,
Abuse026_x264.mp4,Abuse,25.0,178.0,728.0
Abuse027_x264.mp4,Abuse,,,
Abuse028_x264.mp4,Abuse,55.0,146.0,440.0
Abuse029_x264.mp4,Abuse,-1.0,59.0,300.0
Abuse030_x264.mp4,Abuse,418.0,1224.0,1507.0
Abuse031_x264.mp4,Abuse,278.0,623.0,2375.0
Abuse032_x264.mp4,Abuse,,,
Abuse034_x264.mp4,Abuse,136.0,389.0,814.0
Abuse035_x264.mp4,Abuse,120.0,537.0,1283.0
Abuse036_x264.mp4,Abuse,,,
Abuse037_x264.mp4,Abuse,,56.0,913.0
Abuse038_x264.mp4,Abuse,,261.0,436.0
Abuse039_x264.mp4,Abuse,8356.0,11449.0,13062.0
Abuse040_x264.mp4,Abuse,470.0,1213.0,2418.0
Abuse041_x264.mp4,Abuse,,,
Abuse033_x264.mp4,Abuse,,,
Abuse042_x264.mp4,Abuse,,,
Abuse043_x264.mp4,Abuse,174.0,1034.0,1592.0
Abuse044_x264.mp4,Abuse,,,
Abuse045_x264.mp4,Abuse,,,
Abuse046_x264.mp4,Abuse,,,
Abuse047_x264.mp4,Abuse,,,
Abuse048_x264.mp4,Abuse,,,
Abuse049_x264.mp4,Abuse,,,
Abuse050_x264.mp4,Abuse,194.0,1689.0,1963.0
Arson001_x264.mp4,Arson,,,
Arson002_x264.mp4,Arson,109.0,443.0,2899.0
Arson003_x264.mp4,Arson,,96.0,964.0
Arson005_x264.mp4,Arson,,44.0,692.0
Arson006_x264.mp4,Arson,675.0,788.0,2256.0
Arson007_x264.mp4,Arson,902.0,1339.0,5812.0
Arson008_x264.mp4,Arson,,,
Arson009_x264.mp4,Arson,,114.0,327.0
Arson010_x264.mp4,Arson,291.0,544.0,1022.0
Arson011_x264.mp4,Arson,,,
Arson012_x264.mp4,Arson,,,
Arson013_x264.mp4,Arson,,,
Arson014_x264.mp4,Arson,372.0,745.0,1077.0
Arson015_x264.mp4,Arson,785.0,920.0,5819.0
Arson016_x264.mp4,Arson,,92.0,769.0
Arson017_x264.mp4,Arson,259.0,636.0,858.0
Arson018_x264.mp4,Arson,,,
Arson019_x264.mp4,Arson,,,
Arson020_x264.mp4,Arson,368.0,1398.0,1725.0
Arson021_x264.mp4,Arson,233.0,371.0,1147.0
Arson022_x264.mp4,Arson,250.0,1103.0,4203.0
Arson023_x264.mp4,Arson,,,
Arson024_x264.mp4,Arson,1268.0,1389.0,1461.0
Arson025_x264.mp4,Arson,,,
Arson026_x264.mp4,Arson,,,
Arson027_x264.mp4,Arson,,,
Arson028_x264.mp4,Arson,,,
Arson029_x264.mp4,Arson,233.0,551.0,1177.0
Arson030_x264.mp4,Arson,,,
Arson031_x264.mp4,Arson,141.0,1044.0,1265.0
Arson032_x264.mp4,Arson,,156.0,583.0
Arson034_x264.mp4,Arson,,,
Arson035_x264.mp4,Arson,314.0,495.0,737.0
Arson036_x264.mp4,Arson,,85.0,1588.0
Arson037_x264.mp4,Arson,,,
Arson038_x264.mp4,Arson,,101.0,267.0
Arson039_x264.mp4,Arson,,40.0,242.0
Arson040_x264.mp4,Arson,,84.0,393.0
Arson041_x264.mp4,Arson,66.0,2090.0,2963.0
Arson042_x264.mp4,Arson,135.0,3136.0,3588.0
Arson044_x264.mp4,Arson,,,
Arson045_x264.mp4,Arson,32.0,550.0,1392.0
Arson046_x264.mp4,Arson,,,
Arson047_x264.mp4,Arson,366.0,462.0,620.0
Arson048_x264.mp4,Arson,,,
Arson049_x264.mp4,Arson,,,
Arson050_x264.mp4,Arson,,103.0,900.0
Arson051_x264.mp4,Arson,,,
Arson052_x264.mp4,Arson,,,
Arson053_x264.mp4,Arson,,,
Assault001_x264.mp4,Assault,142.0,181.0,774.0
Assault002_x264.mp4,Assault,,195.0,1726.0
Assault003_x264.mp4,Assault,148.0,381.0,1789.0
